iter	Passed	Remaining
880	86167	109445
881	86258	109339
882	86300	109170
883	86368	109035
884	86457	108926
885	86546	108817
886	86596	108660
887	86668	108530
888	86734	108393
889	86757	108203
890	86834	108080
891	86907	107951
892	86991	107838
893	87092	107745
894	87183	107640
895	87272	107531
896	87352	107413
897	87425	107286
898	87493	107153
899	87571	107032
900	87633	106890
901	87707	106766
902	87783	106643
903	87854	106513
904	87897	106350
905	87997	106257
906	88074	106135
907	88191	106062
908	88271	105945
909	88360	105838
910	88473	105760
911	88543	105631
912	88649	105544
913	88734	105433
914	88808	105307
915	88911	105217
916	88981	105089
917	89085	105000
918	89122	104833
919	89192	104704
920	89288	104606
921	89330	104444
922	89395	104311
923	89472	104190
924	89567	104092
925	89669	104001
926	89734	103867
927	89827	103765
928	89862	103598
929	89921	103458
930	90019	103362
931	90073	103217
932	90185	103138
933	90289	103050
934	90386	102954
935	90498	102874
936	90599	102782
937	90650	102634
938	90745	102536
939	90784	102373
940	90874	102269
941	90978	102181
942	91080	102090
943	91180	101998
944	91263	101886
945	91354	101784
946	91444	101680
947	91553	101597
948	91641	101491
949	91746	101404
950	91825	101288
951	91918	101187
952	92017	101093
953	92117	101001
954	92145	100828
955	92227	100716
956	92312	100608
957	92398	100500
958	92500	100409
959	92571	100285
960	92691	100214
961	92746	100073
962	92873	100009
963	92960	99903
964	93001	99748
965	93079	99631
966	93151	99509
967	93229	99393
968	93317	99288
969	93429	99208
970	93516	99102
971	93606	98999
972	93680	98879
973	93763	98768
974	93831	98642
975	93906	98524
976	93954	98378
977	93992	98221
978	94093	98129
979	94135	97977
980	94187	97836
981	94231	97685
982	94323	97586
983	94424	97495
984	94539	97418
985	94635	97323
986	94718	97213
987	94832	97135
988	94881	96992
989	94949	96867
990	95032	96759
991	95117	96651
992	95223	96566
993	95277	96427
994	95382	96341
995	95483	96250
996	95513	96088
997	95618	96001
998	95716	95908
999	95792	95792
1000	95882	95691
1001	95994	95611
1002	96104	95529
1003	96218	95452
1004	96293	95335
1005	96380	95230
1006	96420	95080
1007	96522	94990
1008	96625	94901
1009	96703	94788
1010	96744	94639
1011	96778	94483
1012	96870	94383
1013	96944	94267
1014	97023	94156
1015	97109	94050
1016	97223	93973
1017	97301	93860
1018	97375	93743
1019	97433	93612
1020	97516	93505
1021	97597	93395
1022	97692	93299
1023	97753	93171
1024	97794	93024
1025	97901	92939
1026	97975	92824
1027	98059	92717
1028	98166	92633
1029	98261	92537
1030	98356	92441
1031	98427	92323
1032	98527	92232
1033	98603	92118
1034	98690	92015
1035	98762	91898
1036	98810	91759
1037	98846	91609
1038	98915	91489
1039	98987	91373
1040	99074	91270
1041	99130	91138
1042	99222	91040
1043	99303	90933
1044	99372	90813
1045	99471	90722
1046	99569	90629
1047	99654	90526
1048	99684	90371
1049	99805	90299
1050	99839	90149
1051	99936	90056
1052	100016	89948
1053	100117	89858
1054	100162	89719
1055	100202	89574
1056	100297	89479
1057	100417	89407
1058	100530	89328
1059	100585	89198
1060	100722	89140
1061	100849	89074
1062	100965	88997
1063	101082	88922
1064	101135	88790
1065	101206	88673
1066	101268	88550
1067	101386	88475
1068	101534	88427
1069	101658	88357
1070	101724	88237
1071	101771	88100
1072	101896	88031
1073	102045	87983
1074	102191	87932
1075	102322	87867
1076	102383	87743
1077	102532	87694
1078	102660	87627
1079	102793	87564
1080	102864	87449
1081	102984	87375
1082	103055	87259
1083	103175	87184
1084	103247	87070
1085	103373	87000
1086	103461	86900
1087	103573	86819
1088	103665	86721
1089	103744	86612
1090	103834	86512
1091	103881	86377
1092	103936	86249
1093	104031	86154
1094	104070	86012
1095	104174	85924
1096	104264	85825
1097	104354	85726
1098	104415	85603
1099	104457	85465
1100	104552	85370
1101	104623	85255
1102	104689	85137
1103	104733	85000
1104	104765	84855
1105	104887	84782
1106	105029	84725
1107	105139	84643
1108	105263	84571
1109	105320	84446
1110	105440	84371
1111	105518	84263
1112	105552	84119
1113	105621	84004
1114	105701	83897
1115	105748	83764
1116	105857	83681
1117	105979	83608
1118	106109	83540
1119	106184	83431
1120	106312	83361
1121	106438	83291
1122	106504	83173
1123	106548	83039
1124	106641	82943
1125	106748	82857
1126	106813	82740
1127	106913	82649
1128	107016	82560
1129	107106	82462
1130	107245	82401
1131	107344	82310
1132	107454	82226
1133	107571	82149
1134	107686	82069
1135	107762	81959
1136	107847	81857
1137	107955	81773
1138	108058	81684
1139	108149	81586
1140	108221	81474
1141	108306	81372
1142	108352	81240
1143	108411	81118
1144	108522	81036
1145	108561	80900
1146	108614	80774
1147	108708	80678
1148	108780	80567
1149	108829	80439
1150	108895	80323
1151	108993	80231
1152	109095	80142
1153	109182	80042
1154	109283	79951
1155	109354	79840
1156	109381	79696
1157	109488	79610
1158	109541	79485
1159	109586	79355
1160	109638	79230
1161	109686	79102
1162	109759	78992
1163	109792	78854
1164	109886	78759
1165	109977	78663
1166	110011	78525
1167	110055	78395
1168	110112	78275
1169	110223	78192
1170	110276	78069
1171	110326	77943
1172	110423	77852
1173	110505	77748
1174	110538	77612
1175	110646	77527
1176	110673	77386
1177	110758	77286
1178	110867	77202
1179	110956	77105
1180	111026	76994
1181	111069	76865
1182	111133	76750
1183	111218	76650
1184	111292	76543
1185	111405	76462
1186	111448	76333
1187	111568	76257
1188	111608	76126
1189	111703	76033
1190	111803	75943
1191	111896	75849
1192	111981	75749
1193	112056	75642
1194	112135	75538
1195	112193	75420
1196	112264	75311
1197	112376	75230
1198	112480	75143
1199	112598	75065
1200	112701	74977
1201	112806	74891
1202	112905	74801
1203	113012	74715
1204	113104	74621
1205	113217	74539
1206	113321	74452
1207	113414	74357
1208	113502	74259
1209	113607	74173
1210	113653	74048
1211	113727	73941
1212	113824	73849
1213	113895	73741
1214	113969	73634
1215	114061	73539
1216	114163	73450
1217	114219	73333
1218	114305	73234
1219	114410	73147
1220	114485	73042
1221	114573	72944
1222	114671	72853
1223	114801	72782
1224	114886	72683
1225	114928	72556
1226	115035	72471
1227	115130	72378
1228	115214	72278
1229	115314	72188
1230	115424	72105
1231	115520	72013
1232	115612	71917
1233	115697	71818
1234	115769	71711
1235	115874	71624
1236	115979	71537
1237	116065	71439
1238	116158	71345
1239	116240	71243
1240	116345	71157
1241	116448	71069
1242	116518	70961
1243	116625	70875
1244	116741	70794
1245	116842	70705
1246	116944	70616
1247	117031	70519
1248	117140	70434
1249	117267	70360
1250	117436	70311
1251	117556	70233
1252	117658	70144
1253	117761	70055
1254	117902	69989
1255	118035	69919
1256	118127	69823
1257	118230	69735
1258	118328	69643
1259	118459	69571
1260	118599	69504
1261	118755	69446
1262	118899	69381
1263	118971	69274
1264	119102	69201
1265	119202	69111
1266	119302	69020
1267	119451	68957
1268	119571	68878
1269	119623	68759
1270	119731	68673
1271	119862	68600
1272	120020	68542
1273	120131	68458
1274	120284	68396
1275	120401	68315
1276	120510	68229
1277	120634	68152
1278	120681	68030
1279	120765	67930
1280	120840	67825
1281	120880	67700
1282	120989	67614
1283	121079	67517
1284	121178	67426
1285	121286	67339
1286	121403	67257
1287	121463	67144
1288	121511	67024
1289	121616	66935
1290	121730	66852
1291	121814	66752
1292	121907	66657
1293	122022	66574
1294	122104	66473
1295	122204	66382
1296	122258	66266
1297	122341	66166
1298	122449	66079
1299	122481	65951
1300	122583	65861
1301	122632	65743
1302	122727	65649
1303	122787	65537
1304	122840	65420
1305	122913	65315
1306	123012	65223
1307	123129	65141
1308	123201	65036
1309	123314	64951
1310	123417	64862
1311	123513	64769
1312	123586	64664
1313	123662	64560
1314	123744	64460
1315	123817	64354
1316	123903	64256
1317	123974	64150
1318	124079	64062
1319	124149	63955
1320	124232	63855
1321	124337	63767
1322	124390	63652
1323	124445	63538
1324	124512	63431
1325	124603	63335
1326	124762	63274
1327	124864	63184
1328	124973	63098
1329	125094	63017
1330	125194	62926
1331	125277	62826
1332	125387	62740
1333	125415	62613
1334	125449	62489
1335	125556	62402
1336	125663	62314
1337	125801	62242
1338	125932	62167
1339	126012	62065
1340	126106	61971
1341	126193	61874
1342	126354	61813
1343	126462	61725
1344	126565	61635
1345	126658	61541
1346	126726	61434
1347	126859	61359
1348	127003	61289
1349	127055	61174
1350	127146	61079
1351	127258	60993
1352	127345	60896
1353	127445	60804
1354	127549	60715
1355	127623	60611
1356	127721	60519
1357	127824	60429
1358	127916	60334
1359	127994	60232
1360	128106	60147
1361	128180	60043
1362	128287	59955
1363	128394	59867
1364	128499	59778
1365	128591	59682
1366	128691	59591
1367	128786	59498
1368	128865	59396
1369	128981	59312
1370	129070	59216
1371	129178	59128
1372	129289	59041
1373	129322	58919
1374	129422	58828
1375	129515	58733
1376	129612	58640
1377	129708	58547
1378	129826	58464
1379	129918	58369
1380	130020	58278
1381	130129	58191
1382	130224	58097
1383	130347	58015
1384	130481	57939
1385	130597	57855
1386	130709	57768
1387	130883	57709
1388	130971	57612
1389	131062	57516
1390	131155	57421
1391	131245	57325
1392	131353	57237
1393	131489	57161
1394	131547	57050
1395	131686	56976
1396	131788	56884
1397	131860	56780
1398	131983	56698
1399	132095	56612
1400	132189	56517
1401	132262	56414
1402	132302	56296
1403	132377	56194
1404	132520	56120
1405	132659	56045
1406	132774	55959
1407	132876	55868
1408	132982	55778
1409	133080	55686
1410	133204	55604
1411	133332	55523
1412	133405	55420
1413	133497	55324
1414	133598	55233
1415	133704	55143
1416	133809	55053
1417	133882	54950
1418	133960	54849
1419	134033	54746
1420	134130	54652
1421	134214	54553
1422	134314	54462
1423	134354	54345
1424	134425	54241
1425	134537	54154
1426	134621	54056
1427	134657	53938
1428	134762	53848
1429	134852	53752
1430	134936	53653
1431	135001	53547
1432	135074	53445
1433	135180	53355
1434	135231	53244
1435	135327	53150
1436	135451	53068
1437	135595	52993
1438	135685	52897
1439	135782	52804
1440	135921	52727
1441	136063	52651
1442	136163	52559
1443	136255	52463
1444	136329	52361
1445	136455	52279
1446	136620	52212
1447	136777	52141
1448	136903	52059
1449	137021	51973
1450	137146	51890
1451	137271	51807
1452	137385	51720
1453	137529	51644
1454	137659	51563
1455	137754	51468
1456	137875	51384
1457	137989	51296
1458	138093	51205
1459	138208	51118
1460	138315	51028
1461	138413	50934
